query,completion
What undergraduate programs are listed on the CUI Attock website?,"The undergraduate programs listed are Bachelor of Computer Science (BCS), Bachelor of Electrical Engineering (BEE), Bachelor of Computer Engineering (BCE), Bachelor of Business Administration (BBA), Bachelor of Science in Management (BSM), and Bachelor of Science in Software Engineering (BS(SE))."
What does the Bachelor of Science in Software Engineering program aim to teach students?,"The BS Software Engineering program is designed to prepare students for careers in software engineering, software project management, and software development and integration. It develops technical competency, leadership, and communication skills needed to analyze, design, verify, validate, implement, and maintain software systems, applying principles of computer science, engineering, and analysis to design, create, test, and evaluate software and digital systems."
How can I contact the CUI Attock campus for more information?,"You can contact the campus by calling +92-57-9316330-1 or +92-57-9049158, or by visiting near Officers Colony, University Road Attock."
Which academic departments are mentioned on the CUI Attock site?,"The departments listed are Computer Science, Electrical Engineering, Computer Engineering, Management Sciences, and Mathematics."
What graduate degrees are offered in Computer Engineering at CUI Attock?,Graduate degrees in Computer Engineering include a Master of Science in Computer Engineering and a PhD in Computer Engineering.
What undergraduate degree programs are listed on the CUI website?,"The undergraduate programs listed are Bachelor of Computer Science (BCS), Bachelor of Electrical Engineering (BEE), Bachelor of Computer Engineering (BCE), Bachelor of Business Administration (BBA), and Bachelor of Science in Management (BSM)."
Which graduate programs does CUI offer in the field of engineering?,"CUI offers Master of Science in Computer Science, Master of Science in Electrical Engineering, and Master of Science in Computer Engineering as graduate programs in engineering."
"How can I contact the CUI office near Officers Colony, University Road Attock?","You can call +92-57-9316330-1 or +92-57-9049158 to reach the CUI office near Officers Colony, University Road Attock."
What is the Bachelor of Science in Artificial Intelligence program about?,"The Bachelor of Science in Artificial Intelligence program focuses on AI technologies that mimic human thinking, learn from past experiences, recognize patterns, and perform tasks such as object identification, speech recognition, language translation, face detection, and sentiment analysis, aiming to transform industries and improve quality of life."
Where can I find information about CUI's research and innovation initiatives?,Information about research and innovation can be found under the 'Research & Innovation' section of the CUI website.
What phone numbers can I use to contact the CUI Attock Campus?,You can reach the CUI Attock Campus at +92-57-9316330-1 or +92-57-9049158.
Where is the CUI Attock Campus located?,"The CUI Attock Campus is located near Officers Colony, University Road, Attock, Pakistan."
Which undergraduate degree programs does CUI offer?,"CUI offers the following undergraduate programs: BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), and BSM (Bachelor of Management Sciences)."
What doctoral (PhD) programs are available at CUI?,"CUI provides PhD programs in Computer Science, Electrical Engineering, Computer Engineering, Management Science, and Mathematics."
What campuses are part of the CUI university system?,"CUI has campuses in Islamabad, Abbottabad, Wah, Lahore, Sahiwal, Vehari, and also offers a Virtual Campus."
When was the Laptop Distribution Ceremony at COMSATS University Islamabad Attock Campus held?,"The Laptop Distribution Ceremony was held on January 28, 2026."
How many students received laptops under the PM Laptop Scheme during the ceremony?,A total of 178 deserving students were awarded laptops under the PM Laptop Scheme.
Who was the chief guest at the Laptop Distribution Ceremony?,"Prof. Dr. Nadia Nawaz, Director of CUI Attock Campus, served as the chief guest."
Which officials from the Registrar Office attended the Laptop Distribution Ceremony?,"The ceremony was graced by Mr. Rana Tahir Mehmood, Senior Manager, and Ms. Ghazala Naz, APO, from the Registrar Office, Principal Seat."
Who supervised the Laptop Distribution Ceremony session?,"The session was supervised by Khawaja Muhammad Ali Butt, Deputy Registrar / Manager SFAO, CUI Attock Campus."
What are the eligibility criteria for the PEEF Masters Level Scholarship for Fall 2025 and Spring 2026?,"To qualify for the Punjab Educational Endowment Fund (PEEF) Masters Level Scholarship for the 2025‑26 academic year (Fall 2025 and Spring 2026 intakes), a student must be a Punjab domicile, have secured at least 60% marks or a minimum CGPA of 2.5 in a graduation‑level examination held in 2023‑24, 2024‑25, or 2025‑26, have completed at least sixteen years of schooling or a four‑year education after HSSC/F.A/F.Sc/Grade 12, and be admitted as a full‑time student in the current academic year (2025‑26) at one of the partner universities."
Which phone numbers can I call for inquiries about admissions at CUI Attock?,You can contact CUI Attock at +92-57-9316330-1 or +92-57-9049158 for admission inquiries.
Where is the CUI Attock campus located?,"The CUI Attock campus is located near Officers Colony, University Road, Attock, Pakistan."
Which academic departments are listed on the CUI website?,"The listed academic departments are: Department of Computer Science, Department of Electrical Engineering, Department of Computer Engineering, Department of Management Sciences, and Department of Mathematics."
What fields of study are eligible for the Pakistan Petroleum Limited (PPL) Higher Professional Education Scholarship for FY 2025-26?,"The scholarship is available for students studying in Engineering, Medicine, Information Technology, Business Administration, and Education."
Which districts are specifically targeted by the PPL scholarship for FY 2025-26?,"The scholarship is dedicated to students from Matyari, Sanghar, Kashmore, Chakwal, Tehsil Gujar Khan of Rawalpindi, UC Chhab, Dakhnair, and Tehsil Jhand of District Attock."
How can I get more information or contact the organizers of the PPL scholarship program?,"You can contact the organizers at +92-57-9316330-1 or +92-57-9049158, and the office is located near Officers Colony, University Road Attock."
When was the announcement for the Pakistan Petroleum Limited (PPL) Scholarship for FY 2025-26 made?,"The scholarship was announced on January 28, 2026."
How can I contact the university office in Attock?,"You can reach the Attock office by calling +92-57-9316330-1 or +92-57-9049158. The office is located near Officers Colony, University Road, Attock."
What undergraduate degree programs are listed on the website?,"The undergraduate programs mentioned are BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), and BSM (Bachelor of Management Sciences)."
When is the 25th Year of Excellence Silver Jubilee Celebration scheduled?,"The 25th Year of Excellence Silver Jubilee Celebration is scheduled for December 26, 2025."
Which social media platforms can I follow the university on?,"You can follow the university on Facebook, Instagram, LinkedIn, and YouTube."
When was the 25th Year of Excellence Silver Jubilee Celebration at CUI Attock held?,"The 25th Year of Excellence Silver Jubilee Celebration at COMSATS University Islamabad Attock Campus was held on December 26, 2025."
Who was the chief guest at the Silver Jubilee event at CUI Attock?,"The chief guest was Prof. Dr. Nadia Nawaz Qadri, Director of CUI Attock Campus."
What graduate programs are offered at COMSATS University Islamabad Attock Campus?,"Graduate programs include Master of Science in Computer Science, Master of Science in Electrical Engineering, Master of Science in Computer Engineering, Master in Business Administration, and Master of Science in Mathematics."
What are the contact phone numbers for COMSATS University Islamabad Attock Campus?,The contact phone numbers are +92-57-9316330-1 and +92-57-9049158.
When is the Open House & Job Fair 2025 at CUI Attock Campus?,"The Open House & Job Fair 2025 at CUI Attock Campus is scheduled for December 17, 2025."
How can I contact the CUI Attock Campus for inquiries?,"You can contact CUI Attock Campus by calling +92-57-9316330-1 or +92-57-9049158, emailing info@cuiatk.edu.pk, or visiting the address Near Officers Colony, University Road Attock."
What graduate degree programs are offered at CUI Attock Campus?,"CUI Attock Campus offers Master of Science degrees in Computer Science, Electrical Engineering, Computer Engineering, Mathematics, as well as a Master in Business Administration. Doctoral (PhD) programs are available in Computer Science, Electrical Engineering, Computer Engineering, Management Science, and Mathematics."
Which undergraduate departments and programs are available at CUI Attock Campus?,"The undergraduate departments at CUI Attock Campus include Computer Science, Electrical Engineering, Computer Engineering, Management Sciences, and Mathematics. Corresponding programs are BCS, BEE, BCE, BBA, and BSM."
Where can I find more information about the Open House & Job Fair event?,"More information about the Open House & Job Fair can be found on the event website https://attock.comsats.edu.pk/, by contacting the organizer at info@cuiatk.edu.pk or calling 057-9316330."
When is the Convocation 2025 scheduled to take place?,"The Convocation 2025 is scheduled for October 22, 2025."
What phone number can I use to contact the organizer of the Convocation event?,You can contact the organizer at 057-9316330.
Which campuses are part of CUI?,"CUI has the following campuses: Islamabad Campus, Abbottabad Campus, Wah Campus, Lahore Campus, Sahiwal Campus, Vehari Campus, and a Virtual Campus."
What graduate programs does CUI offer in Computer Engineering?,CUI offers a Master of Science in Computer Engineering and a PhD in Computer Engineering.
How can I apply for admission to CUI?,You can apply by clicking the "Apply Now" link and contacting the university at +92-57-9316330-1 or +92-57-9049158.
What are the contact phone numbers for the university?,The contact phone numbers listed are +92-57-9316330-1 and +92-57-9049158.
Where is the university located?,"The address given is Near Officers Colony, University Road Attock."
When was the Department of Electrical Engineering established?,The Department of Electrical Engineering was established in 2007.
What degree programs does the Department of Electrical Engineering offer?,The department offers a BS in Electrical Engineering and an MS in Electrical Engineering.
Which academic departments are mentioned on the website?,"The academic departments listed are Computer Science, Electrical Engineering, Computer Engineering, Management Sciences, and Mathematics."
What undergraduate degree programs are available at CUI Attock Campus?,"The undergraduate programs listed are BCS, BEE, BCE, BBA, and BSM."
How can I get in touch with the CUI Attock Campus office?,"You can call +92-57-9316330-1 or +92-57-9049158, or visit the campus at Near Officers Colony, University Road Attock."
Which campuses are part of the CUI network?,"The campuses mentioned are Islamabad Campus, Abbottabad Campus, Wah Campus, Lahore Campus, Sahiwal Campus, Vehari Campus, and a Virtual Campus."
Who is responsible for MIS and DevOps engineering at CUI?,Shahzad Saleem is listed as Incharge MIS/DevOps Engineer/Software Developer/Web Master.
Where can I find information about scholarships at CUI?,A quick link labeled 'Scholarship' is provided in the navigation menu for scholarship information.
Who is the Incharge of Human Resources and how can I reach them?,"The In‑charge HR is Laeeq Mushtaq (MS Library and Information Science). He works in the Computer Science Block, 3rd Floor. Phone: 0579316330 extension 301. Email: dr@ciit-attock.edu.pk."
What graduate (master's) programs does the university offer?,"The university offers Master of Science in Computer Science, Master of Science in Electrical Engineering, Master of Science in Computer Engineering, Master in Business Administration, and Master of Science in Mathematics."
Which doctoral degrees are available at the institution?,"Doctoral programs include PhD in Computer Science, PhD in Electrical Engineering, PhD in Computer Engineering, PhD in Management Science, and PhD in Mathematics."
What is the address and contact numbers for the campus?,"The campus is near Officers Colony, University Road, Attock, Pakistan. Main phone numbers are +92-57-9316330-1 and +92-57-9049158."
Who are the other HR staff members listed and what are their contact details?,"Assistant Registrar Zulfiqar Ali (MPA) – Computer Science Block 3rd Floor, phone 0579316330 ext 353, email zulfiqar@ciit-attock.edu.pk. Sr. Assistant Jahangir Khan (MS) – same location, phone 0579316330 ext 349, email Jahangirkhan850@ciit-attock.edu.pk. Office Assistant Safdar Usman Ghani (BA) – same location, phone 0579316330 ext 349, email safdar.ghani@ciit-attock.edu.pk."
What services does the Academics Office provide to students at CUI Attock?,"The Academics Office handles student orientation, registration, ID card issuance, course registration, drop, withdrawal, freezing/rejoining of studies, readmission, inter‑campus migration, issuance of official certificates (such as NOC, Medium of Instruction, Bonafide), fee refund processing, and maintains the student master list and academic/administrative records."
How can a student obtain official certificates like an NOC or Bonafide from CUI Attock?,"A student can request official certificates such as NOC, Medium of Instruction, or Bonafide from the Academics Office, which issues them on student requests."
What are the contact phone numbers for the CUI Attock campus?,The contact phone numbers for CUI Attock are +92-57-9316330-1 and +92-57-9049158.
Which undergraduate programs are offered at CUI Attock?,"CUI Attock offers the undergraduate programs BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), and BSM (Bachelor of Management Sciences)."
Who heads the Registrar Office‑Academic Unit at CUI Attock?,"The Registrar Office‑Academic Unit is headed by Khawaja Muhammad Ali Butt, Deputy Registrar CUI Attock."
Who heads the Scholarship Unit at CUI Attock Campus?,"The Scholarship Unit is headed by Khawaja Muhammad Ali Butt, who serves as the Deputy Registrar."
When was the Financial Aid Office at CUI Attock Campus established?,"The Financial Aid Office at CUI Attock Campus was established on May 30, 2013."
What services does the Financial Aid Office provide to students?,"The office provides liaison with the CUI Principal Seat and donor agencies, assistance to qualified students to obtain financial aid, help students and parents search for, apply for, receive and maintain eligibility for various types of financial aid, and proactive and responsive financial aid counseling."
How can students contact the Financial Aid Office at CUI Attock Campus?,"Students can contact the office by phone at 0579049146, extension 146, and it is located on the ground floor of the Computer Science Block."
What are the educational qualifications of Khawaja Muhammad Ali Butt?,"Khawaja Muhammad Ali Butt holds the degrees LLM, MS, MBA, and LLB."
What phone numbers can I use to contact the Admissions Office at COMSATS University Islamabad Attock Campus?,"You can reach the Admissions Office at 057-9049158, 057-9049156, and 057-9049131."
What is the email address for admissions inquiries at COMSATS University Islamabad Attock Campus?,The admissions email address is admissions@cuiatk.edu.pk.
Which doctoral (PhD) programs are offered at COMSATS University Islamabad Attock Campus?,"The campus offers PhD programs in Computer Science, Electrical Engineering, Computer Engineering, Management Science, and Mathematics."
Who is the in‑charge of admissions at COMSATS University Islamabad Attock Campus and what is their designation?,"Muhammad Javed is the In‑charge Admissions, located at the Student Front Office."
What undergraduate degree programs are available at CUI Attock?,"CUI Attock offers the following undergraduate programs: BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), and BSM (Bachelor of Management Sciences)."
Which doctoral programs does CUI Attock offer?,"The university provides PhD programs in Computer Science, Electrical Engineering, Computer Engineering, Management Science, and Mathematics."
What services does the Student Affairs Office provide?,"The Student Affairs Office at CUI Attock assists students with routine campus issues, offers career development through the Career Development Center, provides guidance and counseling, operates a one‑window service, and organizes industry‑academia liaison events and job fairs with top organizations."
How can I contact CUI Attock for more information?,"You can reach CUI Attock by calling +92-57-9316330-1 or +92-57-9049158, or by visiting the campus near Officers Colony, University Road, Attock."
What is the contact information for the Library Office at CUI Attock?,"You can reach the Library Office at the main phone number +92-57-9316330-1 or +92-57-9049158. The office is located on the 3rd floor of the Computer Science Block. Specific staff contacts are: Laeeq Mushtaq (Deputy Librarian) – phone 0579316330, extension 301, email dl@ciit-attock.edu.pk; Aftab Ahmed (Senior Assistant) – phone 0579316330, extension 338, email aftab_ahmed@cuiatk.edu.pk; Tariq Mehmood Khan (Senior Assistant) – phone 0579316330, extension 354, email tariq_naizi@ciit-attock.edu.pk."
Which undergraduate degree programs are offered at CUI Attock?,"CUI Attock offers the following undergraduate programs: BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), and BSM (Bachelor of Management Sciences)."
What graduate (master's) programs are available at CUI Attock?,"The graduate programs at CUI Attock include: Master of Science in Computer Science, Master of Science in Electrical Engineering, Master of Science in Computer Engineering, Master in Business Administration, and Master of Science in Mathematics."
Who is the Deputy Librarian at CUI Attock and what are their qualifications?,"The Deputy Librarian is Laeeq Mushtaq. He holds an MS in Library and Information Science, works in the Library Office on the 3rd floor of the Computer Science Block, can be reached at phone 0579316330 extension 301, and his email is dl@ciit-attock.edu.pk."
How can I contact the ECA office at CUI Attock?,"The ECA (Extra Curricular Activities) Office at CUI Attock is supervised by Dr. Faisal Shahzad, Assistant Professor in the Management Sciences Department. You can reach the office at phone 0579049204 or email muhammadfaisal@ciit-attock.edu.pk."
What extracurricular activities are available for students at CUI Attock?,"CUI Attock offers semester‑wise sports and literary activities (both indoor and outdoor) coordinated by the ECA Office. Additionally, 12 student societies operate under this office, providing platforms for co‑curricular engagement and personal growth."
What graduate programs does CUI Attock offer?,"CUI Attock offers the following graduate programs: Master of Science in Computer Science, Master of Science in Electrical Engineering, Master of Science in Computer Engineering, Master in Business Administration, and Master of Science in Mathematics."
Where is the CUI Attock campus located and what are the main contact numbers?,"The CUI Attock campus is located near Officers Colony, University Road, Attock, Pakistan. The main contact numbers are +92-57-9316330-1 and +92-57-9049158."
What is the mission of the Master of Science in Management Science program at CUI?,The mission of the MS in Management Science program is to foster knowledge by conducting research within the domain of business/management sciences and producing socially responsible leaders who will help business organizations through research and serve the community with their superior knowledge.
What are the program objectives of the MS in Management Science at CUI?,The program objectives are: 1) To produce socially responsible graduates; 2) Creation and dissemination of knowledge through published research; 3) To address contemporary issues of organizations in a systematic way; 4) To enable graduates to work on various research projects independently; 5) To enable graduates to work in a diverse cultural environment.
Which graduate programs are offered by CUI?,"CUI offers graduate programs including Master of Science in Computer Science, Master of Science in Electrical Engineering, Master of Science in Computer Engineering, Master in Business Administration, Master of Science in Mathematics, and Master of Science in Management Science."
What are the contact phone numbers for CUI?,The contact phone numbers for CUI are +92-57-9316330-1 and +92-57-9049158.
Where is CUI located?,"CUI is located near Officers Colony, University Road, Attock, Pakistan."
What is the mission of the Master of Science in Project Management program?,"The main objective of the MS in Project Management is to develop a workforce with specific skills of research and preparing complete feasibilities, planning, monitoring and evaluation of projects to lead each project to a level of success beyond the targets on sustainable routine."
What key skills does the MS in Project Management aim to develop?,"The program aims to provide key education on project management portfolio, develop key skills in research in project management, develop key skills of managing projects, and develop key skills in the latest technology for project management."
Which academic departments are listed on the CUI website?,"CUI lists the following academic departments: Department of Computer Science, Department of Electrical Engineering, Department of Computer Engineering, Department of Management Sciences, and Department of Mathematics."
How can I contact CUI for more information?,"You can contact CUI at +92-57-9316330-1 or +92-57-9049158, or visit the campus near Officers Colony, University Road, Attock."
Where can I find admission and eligibility information for BS and MS programs at CUI?,"Admission and eligibility information for BS and MS programs is available under the Admissions section, with links to 'How To Apply?', 'Eligibility criteria MS', and 'Eligibility Criteria BS'."
What undergraduate degree programs are listed on the COMSATS University Islamabad Attock Campus website?,"The undergraduate programs listed are BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), BSM (Bachelor of Science in Management), and Bachelor of Science in Business Data Analytics (BS BDA)."
Which department offers the Bachelor of Science in Business Data Analytics program?,The Bachelor of Science in Business Data Analytics program is offered by the Department of Management Sciences.
How can I contact the COMSATS University Islamabad Attock Campus?,"You can contact the campus by calling +92-57-9316330-1 or +92-57-9049158, or by visiting near Officers Colony, University Road, Attock."
What doctoral (PhD) programs are available at COMSATS University Islamabad Attock Campus?,"The doctoral programs available are PhD in Computer Science, PhD in Electrical Engineering, PhD in Computer Engineering, PhD in Management Science, and PhD in Mathematics."
What is the focus of the Bachelor of Science in Business Data Analytics program according to the website?,"The program focuses on treating data as a critical asset—often called the ‘new oil’—and teaches students how to identify opportunities within data, harness large amounts of information to reveal key business insights, recognize trends, and interpret opportunities using analytical tools."
What are the main goals of the BS Accounting and Finance program?,"The BS Accounting and Finance program aims to produce high‑quality graduates who are both critical and innovative, with strong technical skills and well‑developed decision‑making and problem‑solving abilities."
Which core areas is the BS Accounting and Finance program structured around?,"The program is structured around four core areas: Accounting, Finance, Business, and Economics."
What accounting topics are covered in the BS Accounting and Finance curriculum?,"The accounting component includes financial and management accounting, as well as courses on taxation and auditing, studied from both local and international perspectives."
How can prospective students contact the university for more information?,"Prospective students can call +92-57-9316330-1 or +92-57-9049158, or visit the campus near Officers Colony, University Road, Attock."
What does the Bachelor of Science in Mathematics with Data Science program focus on?,"The program merges essential and advanced mathematical concepts with foundational data science principles, covering mathematics, statistics, data analysis, and computing, and includes practical applications from real‑world business and industry scenarios."
Which subjects are included in the curriculum of the BSc Mathematics with Data Science?,"The curriculum covers crucial areas in mathematics, statistics, data analysis, and computing, and provides a strong grounding in the mathematics that underpins machine learning (ML) and artificial intelligence (AI)."
How can I contact the university for more information about the program?,"You can call +92-57-9316330-1 or +92-57-9049158, or visit the campus near Officers Colony, University Road, Attock."
What steps do I need to follow to apply for an undergraduate degree at this university?,"Prospective students should use the ""How To Apply?"" link, review the eligibility criteria for BS programs, check the fee structure, and consult the prospectus for detailed admission information."
What undergraduate and graduate degree programs does the Computer Science Department at CUI Attock offer?,"The Computer Science Department offers a Bachelor of Computer Science (BCS) at the undergraduate level, a Master of Science in Computer Science at the graduate level, and a PhD in Computer Science at the doctoral level."
How can I contact CUI Attock for more information?,"You can call +92-57-9316330-1 or +92-57-9049158, or visit the campus near Officers Colony, University Road Attock."
What is the mission of the Computer Science Department at CUI Attock?,"The mission is to provide degree programs and courses that meet the full range of needs of talented students in Information Sciences and Technology, with a common core curriculum and faculty‑directed hands‑on laboratory components."
Which academic departments are listed on the CUI Attock website?,"The listed departments are Computer Science, Electrical Engineering, Computer Engineering, Management Sciences, and Mathematics."
Where is CUI Attock located?,"CUI Attock is located near Officers Colony on University Road in Attock, Pakistan."
"What is the national ranking of the Department of Computer Science at COMSATS University Islamabad, Attock campus?","The Department of Computer Science at COMSATS University Islamabad, Attock campus has been ranked 1st in the Computer Science and IT category among all 132 universities of Pakistan by the Higher Education Commission (HEC)."
Is the BS in Computer Science program at the Attock campus accredited?,"Yes, the BS in Computer Science program at the Department of Computer Science, COMSATS University Islamabad, Attock campus is accredited by the National Computing Education authority."
How can I contact the Department of Computer Science at the Attock campus?,"You can reach the Department of Computer Science at COMSATS University Islamabad, Attock campus by calling +92-57-9316330-1 or +92-57-9049158. The campus is located near Officers Colony, University Road, Attock."
"Which faculty does the Department of Computer Science belong to at COMSATS University Islamabad, Attock campus?","The Department of Computer Science sits squarely in the Faculty of Information Science and Technology at COMSATS University Islamabad, Attock campus."
What is the vision of the Department of Computer Science at CUI?,"The vision of the Department of Computer Science is to establish a platform that nurtures the growth of computing professionals, provides a conducive research environment for faculty, and strengthens partnerships with industry."
What are the mission statements of the Department of Computer Science?,"The Department of Computer Science has three mission statements: (1) Provide student‑centred learning experiences that integrate theoretical foundations with practical applications. (2) Support and empower faculty in their pursuit of innovative research, creative endeavours, and industry partnerships. (3) Foster partnerships with the tech industry, government, and community organizations to address real‑world challenges and contribute towards socioeconomic growth of the country."
Which doctoral programs are offered by CUI?,"CUI offers PhD programs in Computer Science, Electrical Engineering, Computer Engineering, Management Science, and Mathematics."
How can I contact CUI for more information?,"You can contact CUI by calling +92-57-9316330-1 or +92-57-9049158. The campus is located near Officers Colony, University Road, Attock."
What undergraduate degree programs are listed on the CUI website?,"The undergraduate programs listed are BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), and BSM (Bachelor of Management Sciences)."
What undergraduate degree programs are listed on the CUI Attock website?,"The undergraduate programs listed are BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), and BSM (Bachelor of Management Sciences)."
Is the BS Computer Science program at CUI Attock accredited?,"Yes, CUI Attock’s 4‑year BS Computer Science program has been accredited by the National Computing Education Accreditation Council (NCEAC) until 2018."
Which organization is responsible for accrediting computing education in Pakistan?,"The National Computing Education Accreditation Council (NCEAC), established by the Higher Education Commission (HEC), monitors and accredits computing education programs in Pakistan."
How can I contact the CUI Attock campus for inquiries?,"You can reach CUI Attock at +92‑57‑9316330‑1 or +92‑57‑9049158, and the campus is located near Officers Colony, University Road, Attock."
What undergraduate programs are offered by the Department of Computer Science?,"The Department of Computer Science offers three undergraduate programs: Bachelor of Science in Artificial Intelligence, Bachelor of Science in Computer Science, and Bachelor of Science in Software Engineering."
How can I contact the Head of the Computer Science Department?,You can email the Head of the Computer Science Department at hod_cs@ciit-attock.edu.pk.
What are the phone numbers for the university in Attock?,The university can be reached at +92-57-9316330-1 and +92-57-9049158.
Where is the campus located?,"The campus is located near Officers Colony, University Road, Attock, Pakistan."
"What is the main objective of the Internet, Communications and Networks (ICNet) Research Group at CUI?",The main objective of the ICNet Research Group is to promote the atmosphere of research in the area of computer networks.
Which research topics does the ICNet Research Group focus on?,"The ICNet Research Group focuses on network protocols and architecture, modeling and analysis, sensor networks, Vehicular Ad hoc Networks (VANETS), Mobile Ad hoc Networks (MANETS), and Future Internet."
When was the ICNet Research Group established?,The ICNet Research Group was established in 2014 by the Department of Computer Sciences.
What other research groups are mentioned for the Department of Computer Science?,The Department of Computer Science also lists the Pattern Recognition Images and Data Engineering (PRIDE) group and the Software Engineering Research Group (SERG).
What undergraduate programs are offered by the Department of Computer Science at CUI?,"The Department of Computer Science lists the following undergraduate programs: BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), and BSM (Bachelor of Science in Management)."
How can prospective students contact the university for admissions inquiries?,"Prospective students can call +92-57-9316330-1 or +92-57-9049158, or visit the campus located near Officers Colony, University Road, Attock."
Which graduate degrees are available in the Department of Computer Engineering?,The Department of Computer Engineering offers a Master of Science in Computer Engineering and a PhD in Computer Engineering.
Can you name a 2015 research paper by I. Hussain and G. Chen that focuses on privacy and authentication?,"The 2015 paper is titled “Enhanced Privacy and Authentication: An Efficient and Secure Anonymous Communication for Location Based Service using Asymmetric Cryptography Scheme,” published in the International Journal of Wireless Personal Communications (WPC) with an impact factor of 0.979."
Where can I find the academic calendar and course catalog for CUI?,Both the Academic Calendar and the Course Catalog are listed under the "Academics" section of the CUI website and can be accessed through the corresponding menu items.
What are the contact phone numbers for the CUI campus in Attock?,The contact phone numbers are +92-57-9316330-1 and +92-57-9049158.
Where is the CUI Attock campus located?,"It is located near Officers Colony, University Road Attock, Pakistan."
Which undergraduate degree programs does CUI offer?,"CUI offers the undergraduate programs BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration) and BSM (Bachelor of Science in Management)."
Who is the Head of the Department of Computer Science at CUI?,"The Head of the Department of Computer Science is Zahoor-ur-Rehman Tanoli, who serves as a Tenured Associate Professor."
What doctoral programs are available at CUI?,"CUI offers PhD programs in Computer Science, Electrical Engineering, Computer Engineering, Management Science and Mathematics."
What facilities does the library at CUI Attock campus provide for students?,"The library at CUI Attock campus is spacious and well‑planned, offering a tranquil environment, circulation, reserve and reference sections, internet facilities that connect users to libraries worldwide, a sophisticated audiovisual system, and access to a large number of periodicals and journals."
Can students access electronic information and online resources through the CUI Attock library?,"Yes, the library provides electronic information access and services, including internet facilities that connect users to libraries around the world for reference, assistance, and consultation."
What types of collections are available in the CUI Attock campus library?,"The library subscribes to a good number of periodicals and journals with educational value for students, in addition to offering a rich learning environment with both physical and electronic resources."
"Is there an audiovisual system in the CUI Attock library, and what is its purpose?","The library is fully equipped with a sophisticated audiovisual system, which supports multimedia learning and enhances the educational experience for users."
What is the email address to contact the Head of Department for Computer Science at COMSATS University Islamabad Attock Campus?,The email address to contact the Head of Department for Computer Science is hod_cs@ciit-attock.edu.pk.
Which phone numbers can be used to reach the Computer Science department at the Attock Campus?,You can reach the Computer Science department at the Attock Campus by calling +92-57-9316330-1 or faxing +92-57-9316329.
What undergraduate programs are offered by COMSATS University Islamabad Attock Campus?,"The undergraduate programs listed include BCS, BEE, BCE, BBA, and BSM."
Where is the Department of Computer Science located within the Attock Campus?,"The Department of Computer Science is located near Officers colony, Kamra Road, Attock, Pakistan."
What undergraduate programs are offered at CUI Attock Campus?,"The undergraduate programs listed are BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), and BSM (Bachelor of Management Sciences)."
How can I contact the CUI Attock Campus?,"You can contact CUI Attock Campus by calling +92-57-9316330-1 or +92-57-9049158, or by visiting near Officers Colony, University Road Attock."
What graduate degrees are available in the Computer Science field at CUI?,The graduate degrees in Computer Science offered are Master of Science in Computer Science (MS) and PhD in Computer Science.
Which campuses are part of CUI?,"CUI has campuses in Islamabad, Abbottabad, Wah, Lahore, Sahiwal, Vehari, and a Virtual Campus."
When was the new website for the Computer Science Department launched?,"The new website for the Computer Science Department was launched in 2026, with a post dated February 16, 2026."
What undergraduate programs are offered at CUI Attock Campus?,"The undergraduate programs listed are BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), and BSM (Bachelor of Management Sciences)."
How can I apply for the Computer Science program for the 2026 SP26 intake?,The text indicates that admission is open for Computer Science 2026 SP26. You can apply by clicking the "Apply Now" link and you may also contact the campus at +92-57-9316330-1 or +92-57-9049158 for further instructions.
What are the contact details for CUI Attock Campus?,"The campus can be reached at the phone numbers +92-57-9316330-1 and +92-57-9049158. Its address is Near Officers Colony, University Road, Attock, Pakistan."
